gene_id,s1,s10,s11,s12,s2,s3,s4,s5,s6,s7,s8,s9
Ovol2,0,0,0,0,0,0,0,0,0,0,0,0
Rcn1,10339,10347,8738,6603,9600,7662,9812,8101,9965,7003,12211,9901
Olfr1148,0,0,0,0,0,0,0,0,0,0,0,0
Npepl1,2090,2159,1744,1712,1787,1439,1681,1585,1753,1225,2852,1903
Olfr1143,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1141,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1140,0,0,0,0,0,0,0,0,0,0,0,0
Prrx2,376,474,383,426,436,373,566,559,786,439,905,519
Syndig1,9,0,5,15,9,11,0,3,13,5,7,12
Dtwd1,172,238,153,158,156,127,134,205,244,149,313,194
Tmem127,4121,4260,4133,2931,3591,3162,3714,3845,4261,2813,5952,4487
Tlk1,1343,1383,1295,899,1244,1063,1272,1061,1342,996,1880,1389
A930019D19Rik,0,0,0,0,0,0,0,0,0,0,0,0
Tmem74b,10,15,13,15,16,16,9,7,3,10,10,19
3300002I08Rik,19,21,26,14,6,17,8,24,38,20,39,31
Mir6340,2,1,1,0,1,1,0,0,0,0,0,0
Gm14288,45,6,5,6,5,6,19,5,4,28,98,7
Celf2,4263,5352,4435,3844,3934,3905,4296,4278,4921,3736,7258,5442
E030013I19Rik,382,462,314,175,303,295,274,176,146,135,197,376
Ube2e3,1888,1954,1592,1180,1671,1469,1667,1871,1847,1336,2594,1867
Galnt5,5,14,8,5,4,7,12,5,15,8,6,14
Ppig,1512,1826,1476,1096,1190,1091,1366,1338,1646,1096,2336,1522
Trp53inp2,4642,4793,4125,2774,3885,3028,3778,3628,4176,2671,5235,4214
Ptprtos,0,0,0,0,0,0,0,0,0,0,0,0
Nr6a1,85,104,85,82,83,65,114,78,77,68,196,104
Sla2,0,0,0,0,5,0,0,0,0,0,0,0
2500004C02Rik,63,88,51,33,58,50,57,49,62,50,90,57
1700037H04Rik,211,240,193,186,211,171,205,254,364,226,430,212
Olfm1,1679,1761,1625,1255,1405,1223,1621,1238,1241,865,1731,1878
Tsc1,1641,1757,1472,1278,1331,1120,1302,1149,1262,974,2107,1757
Zfp937,376,447,300,214,350,253,295,336,380,268,471,387
B3galt1,109,257,170,124,134,126,122,195,241,134,207,225
Zfp931,334,327,67,198,229,216,54,44,126,48,329,64
4921531C22Rik,81,120,84,53,82,49,77,54,72,44,69,93
Nop10,724,955,824,643,682,608,681,718,756,482,984,832
Il1a,4,4,3,0,0,5,0,3,0,0,3,3
Il1b,25,42,26,36,20,35,17,95,21,38,172,39
Snord110,1,1,0,1,0,0,1,1,0,0,2,2
Olfr987,0,0,0,0,0,0,0,0,0,0,0,0
Gm13944,0,0,0,0,0,0,0,0,0,0,0,0
Chd6,2700,3212,2498,2184,2074,1919,2498,2167,2146,1878,3843,2905
Mpped2,26,18,28,22,23,16,17,8,9,10,9,29
Spopl,307,359,308,195,215,227,293,269,351,256,494,300
9430008C03Rik,243,296,231,244,216,152,184,219,255,190,525,242
Cacfd1,976,1147,1055,791,907,788,953,872,1046,590,1607,1099
Cacnb2,1270,1388,1126,805,911,699,828,866,845,801,1527,1216
Gpcpd1,541,737,563,441,490,430,557,610,636,670,1034,583
1700025C18Rik,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1219,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1218,0,0,0,0,0,0,0,0,0,0,0,0
Dph6,432,516,388,284,390,289,412,500,437,371,670,411
Dph7,344,437,358,265,284,244,305,283,315,221,404,395
Olfr1213,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1212,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1211,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1217,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1216,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1215,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1214,0,0,0,0,0,0,0,0,0,0,0,0
Gm14137,0,0,0,0,0,0,0,0,2,1,0,0
Helz2,3204,4226,3367,3126,2945,2685,3355,5217,5814,4047,11769,3524
A930018P22Rik,0,3,0,0,0,3,0,0,0,0,0,2
Gm14139,0,0,0,0,0,0,0,0,0,0,0,0
Mertk,1702,1553,1325,1013,1076,1150,1108,884,676,840,1470,1447
Olfr1020,0,0,0,0,0,0,0,0,0,0,0,0
Edn3,473,490,348,230,402,395,385,157,104,95,141,406
Pacsin3,691,661,589,495,571,523,581,565,564,330,880,622
